reports,ear-left,ear-right,nose-left,nose-right,throat,vc-closed,vc-open,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
edema of the arytenoid cartilages  posterior commissure hypertrophy  edema of the vocal cords,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"the external auditory canal is slightly edematous  the tympanic membrane is intact but thickened, the cone of light is not visualized",1,0,0,0,0,0,0,0,0,0,0,0,0,0
posterior commissure hypertrophy   ventricular obliteration,0,0,0,0,0,0,1,0,0,0,0,0,0,0
edema of the arytenoid cartilages and the vocal cords  posterior commissure hypertrophy,0,0,0,0,0,0,1,0,0,0,0,0,0,0
whitish mucus in the nasopharynx,0,0,0,1,0,0,0,0,0,0,0,0,0,0
whitish mucus on the posterior wall of the oropharynx,0,0,0,0,1,0,0,0,0,0,0,0,0,0
purulent discharge in the nasal cavity,0,0,1,0,0,0,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages  edema of the vocal cords  posterior commissure hypertrophy,0,0,0,0,0,0,1,0,0,0,0,0,0,0
the nasal mucosa is pale  presence of nasal watery discharge,0,0,0,1,0,0,0,0,0,0,0,0,0,0
clear mucus in the nasopharynx,0,0,0,1,0,0,0,0,0,0,0,0,0,0
whitish mucus from the meatus moving toward the nasopharynx,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"the tympanic membrane is intact but slightly thickened, the cone of light is not visualized",1,0,0,0,0,0,0,0,0,0,0,0,0,0
erythema of the nasopharynx   presence of nasal watery discharge,0,0,0,1,0,0,0,0,0,0,0,0,0,0
superior septal deviation  the nasal mucosa is pale  enlargement of the ethmoid bulla,0,0,1,0,0,0,0,0,0,0,0,0,0,0
erythema of the nasopharynx  presence of nasal watery discharge,0,0,1,0,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages  the vocal cords are erythematous,0,0,0,0,0,1,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages  the vocal cords are edematous and erythematous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
posterior commissure hypertrophy   the vocal cords are edematous  small callous-like growths on the middle section of the vocal cords (Bilateral vocal cord nodules),0,0,0,0,0,0,1,0,0,0,0,0,0,0
superior septal deviation  whitish mucus in the nasal cavity,0,0,0,1,0,0,0,0,0,0,0,0,0,0
paradoxical middle turbinate,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a streak of white mucus from the meatus moving toward the nasopharynx,0,0,1,0,0,0,0,0,0,0,0,0,0,0
white mucus on the nasopharynx,0,0,0,1,0,0,0,0,0,0,0,0,0,0
foreign body in the external auditory canal,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"the external auditory canal is erythematous  cerumen in the external auditory canal  the tympanic membrane is intact but thickened, the cone of light is not visualized",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"cerumen and fungal infection in the external auditory canal  the tympanic membrane is covered inferiorly and posteriorly, the remaining part of the tympanic membrane is thickened",1,0,0,0,0,0,0,0,0,0,0,0,0,0
a perforation in the anteroinferior quadrant of the tympanic membrane  the handle of the malleus is visualized  the middle ear mucosa is normal,0,1,0,0,0,0,0,0,0,0,0,0,0,0
a perforation in the inferior quadrants of the tympanic membrane  the handle of the malleus is medialized  the middle ear mucosa is normal,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tonsillectomy has been performed,0,0,0,0,1,0,0,0,0,0,0,0,0,0
the external auditory canal is slightly erythematous  cerumen with fungal infection in the external auditory canal  cerumen covers the anteroinferior quadrant of the tympanic membrane  the remaining part of the tympanic membrane is thickened,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"yellow-white fungal material in the external auditory canal  the tympanic membrane is intact but thickened, the cone of light is not visualized",1,0,0,0,0,0,0,0,0,0,0,0,0,0
dark red crusts on the middle and inferior turbinates  whitish mucus in the nasal cavity,0,0,0,1,0,0,0,0,0,0,0,0,0,0
discharge in the pyriform sinuses  edema of the arytenoid cartilages  posterior commissure hypertrophy  ventricular obliteration,0,0,0,0,0,0,1,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages  incomplete glottic closure,0,0,0,0,0,1,0,0,0,0,0,0,0,0
erythematous of the external auditory canal  the tympanic membrane is intact but slightly thickened  the area of the malleus handle is hyperemic  the cone of light is not visualized,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"a small central perforation in the tympanic membrane  the tympanic membrane is thickened, the cone of light is not visualized",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"a thin scar in the anteroinferior quadrant of the tympanic membrane  the remaning part tympanic membrane is thickened, the cone of light is not visualized",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"a pale mass protrudes from the middle meatus, suspected of polyp  edema and polypoid degeneration of the middle turbinate",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"enlargement of the middle turbinate, suspected of concha bullosa  edema and polypoid degeneration of the middle turbinate",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"a pale mass in the nasal cavity, suspected of polyp  the presence of nasal whitish mucus",0,0,1,0,0,0,0,0,0,0,0,0,0,0
erythema of the nasopharynx  a streak of whitish mucus from the meatus moving toward the nasopharynx,0,0,0,1,0,0,0,0,0,0,0,0,0,0
enlargement of the uncinate process and ethmoid bulla,0,0,0,1,0,0,0,0,0,0,0,0,0,0
erythema of the arytenoid cartilages  edema and erythema of the vocal cords,0,0,0,0,0,0,1,0,0,0,0,0,0,0
superior septal deviation  purulent discharge from the middle meatus,0,0,1,0,0,0,0,0,0,0,0,0,0,0
edema and erythema of the external auditory canal  the tympanic membrane is erythematous and bulged,0,1,0,0,0,0,0,0,0,0,0,0,0,0
purulent discharge from the middle meatus,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a streak of purulent discharge from the middle meatus moving toward the nasopharynx,0,0,1,0,0,0,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages  posterior commissure hypertrophy  subglottic edema,0,0,0,0,0,0,1,0,0,0,0,0,0,0
edema and erythema of the nasopharynx,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a large hyperemic mass filliing the nasopharynx and the right Rosenmuller's fossa,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a thin scar in the inferior quadrants of the tympanic membrane  the superior part of the tympanic membrane is slightly thickened  the cone of light is not visualized,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cerumen and white ear discharge in the external auditory canal  the tympanic membrane is thickened and slightly bulged  the anterior part of tympanic membrane is covered by ear discharge,0,1,0,0,0,0,0,0,0,0,0,0,0,0
yellow - white ear discharge in the external auditory canal and completely covers the tympanic membrane,1,0,0,0,0,0,0,0,0,0,0,0,0,0
polypoid degeneration of the middle turbinate  mucosal contact between the nasal septum and middle turbinate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cerumen with fungal infection in the external auditory canal  the posterior part tympanic membrane is covered  the cone of light is visualized,0,1,0,0,0,0,0,0,0,0,0,0,0,0
a large mass filling the nasopharynx and the right Rosenmuller's fossa,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a spur on the septum touching the inferior turbinate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
edema and erythema of the vocal cords  small callous-like growths on the middle section of the vocal cords (bilateral vocal cord nodules),0,0,0,0,0,0,1,0,0,0,0,0,0,0
"erythematous of the external auditory canal  cerumen with fungal infection in the external auditory canal  cerumen covers the posterior part of the tympanic membrane  the anterior part is slightly thickened, the cone of light is not visualized",1,0,0,0,0,0,0,0,0,0,0,0,0,0
a thin scar in the anteroinferior quadrant of the tympanic membrane  the cone of light is not visualized  a calcareous plaque is present (anterior to the handle of the malleus)  the posterior part of the tympanic membrane is slightly thickened,1,0,0,0,0,0,0,0,0,0,0,0,0,0
a streak of purulent discharge from the meatus moving toward the nasopharynx,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tympanosclerosis with intact tympanic membrane,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The anteroinferior quadrant of the tympanic membrane is atrophic,0,1,0,0,0,0,0,0,0,0,0,0,0,0
a streak of whitish mucus from the middle meatus moving toward the nasopharynx,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ethmoidectomy has been performed,0,0,1,0,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages and the interarytenoid area,0,0,0,0,0,0,1,0,0,0,0,0,0,0
septal deviation  the septal mucosa is erythematous,0,0,1,0,0,0,0,0,0,0,0,0,0,0
erythema of the oropharynx  white mucus on the posterior wall of the oropharynx  tonsillar hypertrophy,0,0,0,0,1,0,0,0,0,0,0,0,0,0
a thin scar in the inferior quadrants of the tympanic membrane  a calcareous plaque can be seen in the posterosuperior quadrant (posteromalleolar)  the cone of light is not visualized,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"the tympanic membrane is intact, the posterior quadrants are slightly thickened, the cone of light is not visualized",0,1,0,0,0,0,0,0,0,0,0,0,0,0
tonsillar hypertrophy  lingual tonsillar hypertrophy,0,0,0,0,1,0,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages and vocal cords  white mucus on the vocal cords  posterior commissure hypertrophy,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"foreign body (hair) in the external auditory canal  the tympanic membrane is intact, the cone of light is visualized",0,1,0,0,0,0,0,0,0,0,0,0,0,0
a spur on the septum  erythema of the nasal mucosa,0,0,0,1,0,0,0,0,0,0,0,0,0,0
whitish mucus in the nasal meatus  the nasal mucosa is erythematous,0,0,0,1,0,0,0,0,0,0,0,0,0,0
superior septal deviation  the nasal mucosa is pale and edematous,0,0,0,1,0,0,0,0,0,0,0,0,0,0
superior septal deviation  the nasal mucosa is pale and edematous  enlargement of the uncinate process and ethmoid bulla,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a spur on the septum  a pale mass on the inferior turbinate,0,0,1,0,0,0,0,0,0,0,0,0,0,0
septal deviation  the nasal mucosa is pale,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A right maxillary anterior accessory ostium  the nasal mucosa is pale,0,0,0,1,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages and interarytenoid area  the right vocal cord is edematous and erythematous  white mucus on the right vocal cord  the left vocal cord is slightly erythematous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
edema of the arytenoid cartilages  the right vocal cord is edematous and erythematous  white mucus on the right vocal cord  the left vocal cord is slightly erythematous,0,0,0,0,0,1,0,0,0,0,0,0,0,0
the right vocal cord is edematous and erythematous  white mucus on the right vocal cord  the left vocal cord is slightly erythematous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
edema of the arytenoid cartilages  posterior commissure hypertrophy  ventricular obliteration,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cerumen completely obstructs the ear canal  the tympanic membrane is not visualized,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ethmoidectomy has been performed  superior septal deviation,0,0,1,0,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages and the interarytenoid area  the vocal cords are slightly edematous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dark red crust on the inferior turbinate,0,0,1,0,0,0,0,0,0,0,0,0,0,0
epistaxis from the anterior tip of the inferior turbinate and the septum  septal deviation,0,0,0,1,0,0,0,0,0,0,0,0,0,0
epistaxis from the anterior tip of the inferior turbinate  dark red crust on the inferior turbinate  white mucus in the nasal cavity,0,0,1,0,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages  ventricular obliteration  subglottic edema,0,0,0,0,0,0,1,0,0,0,0,0,0,0
a streak of purulent discharge from the meatus moving toward the nasopharynx  the nasopharynx is erythematous,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"the tympanic membrane is intact but the posterior quadrants are thickened, the cone of light is not visualized",1,0,0,0,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages  the vocal cords are slightly edematous  incomplete glottic closure,0,0,0,0,0,1,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages and interarytenoid area  the vocal cords are slightly edematous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cerumen with superimposed fungal infection in the external auditory canal  the tympanic membrane is not visualized,1,0,0,0,0,0,0,0,0,0,0,0,0,0
lingual tonsillar hypertrophy,0,0,0,0,1,0,0,0,0,0,0,0,0,0
lingual tonsillar hypertrophy  edema and erythema of the arytenoid cartilages  the epiglottis is slightly edematous,0,0,0,0,0,1,0,0,0,0,0,0,0,0
edema and erythema of the left vocal cord,0,0,0,0,0,0,1,0,0,0,0,0,0,0
edema of the arytenoid cartilages  posterior commissure hypertrophy,0,0,0,0,0,0,1,0,0,0,0,0,0,0
the external auditory canal is slightly erythematous  The tympanic membrane over the malleus handle is slightly hyperemic  the posterior part of the tympanic membrane is thickened  a calcareous plaque can be seen in the anteroinferior quadrant  the cone of light is not visualized,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"a pale mass protrudes from the middle meatus, suspected of polyp",0,0,0,1,0,0,0,0,0,0,0,0,0,0
purulent discharge on the nasopharynx,0,0,0,1,0,0,0,0,0,0,0,0,0,0
purulent discharge in the middle meatus,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a streak of whitish mucus from the sphenoethmoidal recess moving toward the nasopharynx,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"a pale mass in the middle meatus, suspected of polyp  bifid middle turbinate  edema and polypoid degeneration of the middle turbinate",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"superior septal deviation  a pale mass from the middle meatus, suspected of polyp",0,0,0,1,0,0,0,0,0,0,0,0,0,0
edema and polypoid degeneration of the uncinate process,0,0,1,0,0,0,0,0,0,0,0,0,0,0
white discharge in the pyriform sinuses  edema of the arytenoid cartilages,0,0,0,0,0,1,0,0,0,0,0,0,0,0
a streak of purulent discharge from the sphenoethmoidal recess moving toward the nasopharynx,0,0,1,0,0,0,0,0,0,0,0,0,0,0
the external auditory canal is slightly erythematous   white ear discharge in the external auditory canal  the tympanic membrane is not visualized,1,0,0,0,0,0,0,0,0,0,0,0,0,0
whitish mucus in the nasal cavity,0,0,0,1,0,0,0,0,0,0,0,0,0,0
enlargement of the middle turbinate  the middle turbinate mucosa is edematous and erythematous,0,0,0,1,0,0,0,0,0,0,0,0,0,0
edema and erythema of the nasopharynx  presence of nasal watery discharge,0,0,0,1,0,0,0,0,0,0,0,0,0,0
the external auditory canal is erythematous  the tympanic membrane is hyperemic and bulged  yellowish fluid is present in the middle ear and an air-fluid level can be seen in the posteroinferior quadrant,1,0,0,0,0,0,0,0,0,0,0,0,0,0
erythema of the nasopharynx  whitish mucus on the nasopharynx,0,0,0,1,0,0,0,0,0,0,0,0,0,0
a mass on the nasopharynx partly filling the right Rosenmuller's fossa,0,0,0,1,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages  the vocal cords are slightly edematous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"the eacc is slightly erythematous  the tympanic membrane is intact but thickened, the cone of light is not visualized",1,0,0,0,0,0,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages  the right vocal cord is edematous  incomplete glottic closure,0,0,0,0,0,1,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages and the vocal cords  incomplete glottic closure  white mucus on the vocal cords,0,0,0,0,0,1,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages and the vocal cords  white mucus on the vocal cords,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bifid middle turbinate,0,0,1,0,0,0,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages and the interarytenoid area,0,0,0,0,0,0,1,0,0,0,0,0,0,0
white ear discharge in the external auditory canal  the tympanic membrane is not visualized,1,0,0,0,0,0,0,0,0,0,0,0,0,0
epistaxis from the anterior part of the septum,0,0,1,0,0,0,0,0,0,0,0,0,0,0
superior septal deviation  the nasal mucosa is pale  enlargement of the uncinate process and ethmoid bulla,0,0,1,0,0,0,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages  the right vocal cord is erythematous,0,0,0,0,0,1,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages  posterior commissure hypertrophy  edema and erythema of the vocal cords,0,0,0,0,0,0,1,0,0,0,0,0,0,0
epistaxis from the mucosa in the middle meatus,0,0,1,0,0,0,0,0,0,0,0,0,0,0
white ear discharge in the external auditory canal  nonmarginal perforation in the anteroinferior of the tympanic membrane,0,1,0,0,0,0,0,0,0,0,0,0,0,0
a central perforation in the tympanic membrane  the handle of the malleus is slightly medialized  a pinkish mass in the residue of the tympanic membrane in the posteroinferior quadrant  Two calcareous plaques are present (antero- and posteromalleolar),0,1,0,0,0,0,0,0,0,0,0,0,0,0
a nonmarginal perforation in the inferior quadrants of the tympanic membrane  the handle of malleus is medialized  the middle ear mucosa is edematous,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"the external auditory canal is slightly erythematous  white ear discharge in the external auditory canal  a central perforation in the tympanic membrane, the residue of the tympanic membrane is hyperemic",1,0,0,0,0,0,0,0,0,0,0,0,0,0
erythema of the arytenoid cartilages  the vocal cords are edematous and erythematous  incomplete glottic closure  white mucus in the vocal cords,0,0,0,0,0,1,0,0,0,0,0,0,0,0
white discharge in the hypopharynx and pyriform sinuses  edema of the arytenoid cartilages and the interarytenoid area  ventricular obliteration  subglottic edema,0,0,0,0,0,0,1,0,0,0,0,0,0,0
a fish bone stuck in the right tonsil,0,0,0,0,1,0,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages  the vocal cords are edematous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages  posterior commissure hypertrophy  ventricular obliteration,0,0,0,0,0,0,1,0,0,0,0,0,0,0
superior septal deviation  edema and polypoid degeneration of the middle turbinate mucosa,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a spur on the septum   epistaxis from the anterior part of the septum,0,0,1,0,0,0,0,0,0,0,0,0,0,0
foreign body (insect) in the external auditory canal  the external auditory canal is erythematous  blood in the external auditory canal  the tympanic membrane is not visualized,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"dark red crusts in the external auditory canal  the tympanic membrane is intact, the cone of light is visualized",1,0,0,0,0,0,0,0,0,0,0,0,0,0
cerumen with superimposed fungal infection in the external auditory canal and the posterior quadrants of the tympanic membrane  the tympanic membrane is intact  The area of the malleus handle is hyperemic  the cone of light is visualized,0,1,0,0,0,0,0,0,0,0,0,0,0,0
edema and erythema of the tympanic membrane  the vocal cords are edematous  incomplete glottic closure,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"the external auditory canal is erythematous  the tympanic membrane is intact but slightly thickened, the cone of light is not well visualized",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"the external auditory canal is erythematous  the tympanic membrane is intact but slightly thickened, the cone of light is visualized",1,0,0,0,0,0,0,0,0,0,0,0,0,0
edema of the accumulation of cerumen  posterior commissure hypertrophy  ventricular obliteration,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tonsillar hypertrophy (the right tonsil is bigger than the left one),0,0,0,0,1,0,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages  the vocal cords are erythematous  white mucus in the vocal cords,0,0,0,0,0,1,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages and interarytenoid area  erythema of the vocal cords  thick endolaryngeal mucus  ventricular obliteration,0,0,0,0,0,0,1,0,0,0,0,0,0,0
edema of the arytenoid cartilages  the left vocal cord is erythematous  incomplete glottic closure,0,0,0,0,0,1,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages and interarytenoid area  the left vocal cord is slightly erythematous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
edema and erythema of the nasopharynx  a streak of whitish mucus from the meatus moving toward the nasopharynx,0,0,1,0,0,0,0,0,0,0,0,0,0,0
a streak of whitish mucus from the meatus moving toward the nasopharynx,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cerumen in the external auditory canal  a calcareous plaque is seen in the anteroinferior quadran(T)  the cone of light is visualized  the posterosuperior part of the tympanic membrane is slightly thinned,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"cerumen with superimposed fungal infection in the external auditory canal  the tympanic membrane is intact but slightly thickened, the cone of light is not visualized",1,0,0,0,0,0,0,0,0,0,0,0,0,0
the tympanic membrane is intact but thinned in the anteroinferior quadrant  the cone of light is not visualized  the remaining part of the tympanic membrane is thickened,0,1,0,0,0,0,0,0,0,0,0,0,0,0
omega-shaped epiglottis,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"superior septal deviation  a pale mass protrudes from the middle meatus, suspected of polyp",0,0,1,0,0,0,0,0,0,0,0,0,0,0
a pink soft mass on the inferior turbinate,0,0,0,1,0,0,0,0,0,0,0,0,0,0
superior septal deviation  erythema of the anterior tip of the middle turbinate,0,0,1,0,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages and interarytenoid area  the left vocal cord is edematous  ventricular obliteration,0,0,0,0,0,0,1,0,0,0,0,0,0,0
edema of the arytenoid cartilages and interarytenoid area,0,0,0,0,0,0,1,0,0,0,0,0,0,0
edema of the arytenoid cartilages  the vocal cords are edematous  incomplete glottic closure,0,0,0,0,0,1,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages  the vocal cords are edematous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
a pink mass on the nasopharynx filling the right Rosenmuller's fossa,0,0,0,1,0,0,0,0,0,0,0,0,0,0
edema and erythema of the arytenoid cartilages  posterior commissure hypertrophy  the vocal cords are edematous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
the tympanic membrane is intact but thickened in the posterior and inferior parts  the cone of light is not well visualized,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dark red crusts on the inferior turbinate and septum,0,0,1,0,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages  incomplete glottic closure,0,0,0,0,0,1,0,0,0,0,0,0,0,0
posterior commissure hypertrophy   the vocal cords are slightly edematous,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"the external auditory canal is slightly erythematous  the tympanic membrane is intact but slightly thickened, the cone of light is not visualized",1,0,0,0,0,0,0,0,0,0,0,0,0,0
the tympanic membrane is intact but thinned in the anteroinferior quadrant  the remaining part of the tympanic membrane is thickened  the cone of light is not visualized,0,1,0,0,0,0,0,0,0,0,0,0,0,0
edema of the arytenoid cartilages  edema and erythema of the vocal cords,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"cerumen in the external auditory canal  the tympanic membrane is intact but thickened, the cone of light is not visualized",1,0,0,0,0,0,0,0,0,0,0,0,0,0
